id,text
87,오늘 점심 메뉴 단톡방 결론은 결국 처음 제안한 메뉴로 돌아옵니다.
88,오늘 회의록에 적힌 액션 아이템 중 하나는 당신의 이름이 적혀 있습니다.
89,오늘 사내 카페에서 신메뉴가 나옵니다. 첫날엔 줄이 깁니다.
90,오늘 누군가가 '오늘 일정 어떠세요'라고 묻습니다. 캘린더를 보여주는 게 가장 빠릅니다.
91,오늘 퇴근 30분 전 회의 요청이 들어옵니다. 거절 사유를 미리 준비해 두세요.
92,오늘은 슬랙 이모지 반응 하나가 의외로 분위기를 바꿉니다. 적절한 이모지를 골라 두세요.
93,오늘 점심 후 산책길에 작은 영감이 떠오를 수 있습니다. 메모해 두면 내일 보고서에 씁니다.
94,오늘 회의실 마이크가 한 자리만 안 잡힙니다. 자리 바꾸면 됩니다.
95,오늘 누군가의 발표가 매끄럽습니다. 좋은 자료는 좋은 발표를 만듭니다. 슬쩍 배워 두세요.
96,오늘 책상 서랍 두 번째 칸을 열면 잊고 있던 영수증이 나옵니다. 정산하세요.
97,오늘 메신저 답장 속도가 평소보다 한 박자 느립니다. 모두가 비슷한 하루를 보내고 있다는 뜻입니다.
98,오늘 누군가의 한 마디 칭찬이 종일 마음에 남습니다. 같은 한 마디를 누군가에게 건네 보세요.
99,오늘은 퇴근 후의 약속이 가장 큰 동력입니다. 일은 약속을 위해 빠르게 끝내세요.
100,오늘 하루도 무사히 지나갑니다. 그것만으로 꽤 괜찮은 하루입니다.
